replication,task,method,malicious_n,attack_success_rate,benign_n,benign_task_utility,benign_block_rate,tier2_trigger_rate
v4,abstract,no_defense,10,0.4,10,0.1140999,0.0,0.0
v4,abstract,two_stage,10,0.0,10,0.10894569999999999,0.1,0.25
v4,code,no_defense,10,0.0,10,0.9224967,0.0,0.0
v4,code,two_stage,10,0.0,10,0.8281914,0.1,0.6
v4,email,no_defense,10,0.2,10,0.9,0.0,0.0
v4,email,two_stage,10,0.0,10,0.9,0.0,0.2
v4,qa,no_defense,10,0.3,10,0.6541816,0.0,0.0
v4,qa,two_stage,10,0.0,10,0.6543275000000001,0.0,0.15
v4,table,no_defense,10,0.3,10,0.55,0.0,0.0
v4,table,two_stage,10,0.1,10,0.55,0.0,0.1
v5,abstract,no_defense,10,0.4,10,0.10764370000000001,0.0,0.0
v5,abstract,two_stage,10,0.0,10,0.1102419,0.0,0.2
v5,code,no_defense,10,0.0,10,0.9509387,0.0,0.0
v5,code,two_stage,10,0.0,10,0.8642711999999999,0.1,0.45
v5,email,no_defense,10,0.1,10,1.0,0.0,0.0
v5,email,two_stage,10,0.0,10,1.0,0.0,0.15
v5,qa,no_defense,10,0.3,10,0.5294805,0.0,0.0
v5,qa,two_stage,10,0.0,10,0.6053639000000001,0.0,0.2
v5,table,no_defense,10,0.3,10,0.7,0.0,0.0
v5,table,two_stage,10,0.0,10,0.7,0.0,0.2
pooled,abstract,no_defense,20,0.4,20,0.1108718,0.0,0.0
pooled,abstract,two_stage,20,0.0,20,0.1095938,0.05,0.225
pooled,code,no_defense,20,0.0,20,0.9367177,0.0,0.0
pooled,code,two_stage,20,0.0,20,0.8462313,0.1,0.525
pooled,email,no_defense,20,0.15,20,0.95,0.0,0.0
pooled,email,two_stage,20,0.0,20,0.95,0.0,0.175
pooled,qa,no_defense,20,0.3,20,0.59183105,0.0,0.0
pooled,qa,two_stage,20,0.0,20,0.6298457,0.0,0.175
pooled,table,no_defense,20,0.3,20,0.625,0.0,0.0
pooled,table,two_stage,20,0.05,20,0.625,0.0,0.15
